reclon,reclat,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-78.83217058,42.95178139,0,0,122,194.0010888,2020/11/03 19:04:55+00,,,,,,,,,,,,,,,,,,,,,
-78.83216674,42.95176346,0,0,123,193.992695,2020/11/03 19:04:56+00,,,,,,,,,,,,,,,,,,,,,
-78.83215732,42.95174012,0,0,124,194.01077,2020/11/03 19:04:57+00,,,,,,,,,,,,,,,,,,,,,
-78.83213607,42.95171537,0,0,125,193.9866396,2020/11/03 19:04:59+00,,,,,,,,,,,,,,,,,,,,,
-78.8321188,42.95170185,0,0,126,193.849969,2020/11/03 19:05:01+00,,,,,,,,,,,,,,,,,,,,,
-78.83209541,42.95168647,0,0,127,194.950358,2020/11/03 19:05:02+00,,,,,,,,,,,,,,,,,,,,,
-78.83205532,42.95168253,0,0,128,194.1333506,2020/11/03 19:05:04+00,,,,,,,,,,,,,,,,,,,,,
-78.83201809,42.95167537,0,0,129,193.9830284,2020/11/03 19:05:06+00,,,,,,,,,,,,,,,,,,,,,
-78.8319867,42.951669,0,0,130,194.3188131,2020/11/03 19:05:08+00,,,,,,,,,,,,,,,,,,,,,
-78.83195791,42.95166242,0,0,131,193.5328816,2020/11/03 19:05:10+00,,,,,,,,,,,,,,,,,,,,,
-78.83192426,42.95165962,0,0,132,193.366509,2020/11/03 19:05:12+00,,,,,,,,,,,,,,,,,,,,,
-78.83189726,42.95164271,0,0,133,193.7608257,2020/11/03 19:05:14+00,,,,,,,,,,,,,,,,,,,,,
-78.83187755,42.95162851,0,0,134,193.433909,2020/11/03 19:05:15+00,,,,,,,,,,,,,,,,,,,,,
-78.83185029,42.95163074,0,0,135,193.2687658,2020/11/03 19:05:17+00,,,,,,,,,,,,,,,,,,,,,
-78.83183121,42.95164402,0,0,136,193.1062537,2020/11/03 19:05:20+00,,,,,,,,,,,,,,,,,,,,,
-78.83183193,42.95161588,0,0,137,193.4108216,2020/11/03 19:05:24+00,,,,,,,,,,,,,,,,,,,,,
-78.83179489,42.95161062,0,0,138,193.0902692,2020/11/03 19:05:26+00,,,,,,,,,,,,,,,,,,,,,
-78.83176537,42.95161642,0,0,139,193.0982337,2020/11/03 19:05:28+00,,,,,,,,,,,,,,,,,,,,,
-78.83173897,42.951622,0,0,140,193.9136774,2020/11/03 19:05:30+00,,,,,,,,,,,,,,,,,,,,,
-78.83169433,42.95162501,0,0,141,192.8489948,2020/11/03 19:05:32+00,,,,,,,,,,,,,,,,,,,,,
-78.83166763,42.95162891,0,0,142,193.0175648,2020/11/03 19:05:34+00,,,,,,,,,,,,,,,,,,,,,
-78.83162522,42.95162995,0,0,143,193.343633,2020/11/03 19:05:36+00,,,,,,,,,,,,,,,,,,,,,
